filename, speed, steer, throttle, brake
49.bmp, 4.791660, 0.322784, 0.843140, 1.0
50.bmp, 5.135812, 0.322784, 0.843140, 1.0
51.bmp, 5.513979, 0.322784, 0.835297, 1.0
52.bmp, 5.976015, 0.322784, 0.815689, 1.0
53.bmp, 6.413801, 0.330750, 0.815689, 1.0
54.bmp, 6.877464, 0.358200, 0.815689, 1.0
55.bmp, 7.385809, 0.408310, 0.815689, 1.0
56.bmp, 7.875264, 0.473785, 0.823532, 1.0
57.bmp, 8.387314, 0.500000, 0.839218, 1.0
58.bmp, 8.837543, 0.493225, 0.839218, 1.0
59.bmp, 9.037634, 0.476959, 0.858826, 1.0
60.bmp, 9.313340, 0.459503, 0.972549, 1.0
61.bmp, 9.436833, 0.440445, 0.886276, 1.0
62.bmp, 9.685207, 0.427750, 0.737259, 1.0
63.bmp, 10.271490, 0.427353, 0.729416, 1.0
64.bmp, 10.974805, 0.436478, 0.729416, 1.0
65.bmp, 11.599703, 0.446396, 0.729416, 1.0
66.bmp, 12.281412, 0.451172, 0.725494, 1.0
67.bmp, 12.640964, 0.480927, 0.745102, 1.0
68.bmp, 13.375167, 0.500000, 0.960785, 1.0
69.bmp, 13.068876, 0.500000, 1.000000, 1.0
70.bmp, 12.578332, 0.508286, 1.000000, 1.0
71.bmp, 12.105415, 0.507111, 1.000000, 1.0
72.bmp, 11.645963, 0.504333, 1.000000, 1.0
73.bmp, 11.205596, 0.500000, 1.000000, 1.0
74.bmp, 10.780415, 0.500000, 1.000000, 1.0
75.bmp, 10.373649, 0.500000, 1.000000, 1.0
76.bmp, 9.973628, 0.495209, 1.000000, 1.0
77.bmp, 10.030363, 0.489655, 0.917648, 1.0
78.bmp, 10.409418, 0.488861, 0.901962, 1.0
79.bmp, 10.836469, 0.489258, 0.901962, 1.0
80.bmp, 11.209442, 0.488861, 0.901962, 1.0
81.bmp, 11.638149, 0.492828, 0.905884, 1.0
82.bmp, 12.051932, 0.500000, 0.925491, 1.0
83.bmp, 12.457082, 0.500000, 0.925491, 1.0
84.bmp, 12.646416, 0.500000, 0.925491, 1.0
85.bmp, 13.008349, 0.500000, 0.960785, 1.0
86.bmp, 12.923143, 0.500000, 1.000000, 1.0
87.bmp, 12.585018, 0.500000, 1.000000, 1.0
88.bmp, 12.311017, 0.500000, 1.000000, 1.0
89.bmp, 12.000659, 0.508682, 1.000000, 1.0
90.bmp, 11.736795, 0.511856, 1.000000, 0.945099
91.bmp, 10.880079, 0.514618, 1.000000, 0.964706
92.bmp, 10.433007, 0.533585, 1.000000, 1.0
93.bmp, 9.914853, 0.572311, 1.000000, 1.0
94.bmp, 9.505377, 0.612228, 1.000000, 1.0
95.bmp, 8.896894, 0.644257, 0.992157, 1.0
96.bmp, 8.913906, 0.675873, 0.960785, 1.0
97.bmp, 9.027863, 0.699982, 0.890198, 1.0
98.bmp, 9.215689, 0.714203, 0.827454, 1.0
99.bmp, 9.489074, 0.715790, 0.811768, 1.0
100.bmp, 9.796254, 0.715790, 0.811768, 1.0
101.bmp, 10.151906, 0.704727, 0.811768, 1.0
102.bmp, 10.539912, 0.628433, 0.811768, 1.0
103.bmp, 10.966880, 0.554138, 0.811768, 1.0
104.bmp, 11.479955, 0.500000, 0.811768, 1.0
105.bmp, 12.196776, 0.500000, 0.811768, 1.0
106.bmp, 12.557697, 0.500000, 0.815689, 1.0
107.bmp, 12.877135, 0.500000, 0.831375, 1.0
108.bmp, 13.170750, 0.500000, 0.921570, 1.0
109.bmp, 13.042869, 0.500000, 1.000000, 1.0
110.bmp, 12.548566, 0.488068, 1.000000, 1.0
111.bmp, 12.048529, 0.483704, 1.000000, 1.0
112.bmp, 11.569144, 0.475372, 1.000000, 1.0
113.bmp, 11.076291, 0.467041, 1.000000, 1.0
114.bmp, 10.582032, 0.466644, 1.000000, 1.0
115.bmp, 10.083546, 0.467438, 1.000000, 1.0
116.bmp, 9.654111, 0.476562, 1.000000, 1.0
117.bmp, 9.147453, 0.492828, 1.000000, 1.0
118.bmp, 8.642711, 0.500000, 1.000000, 1.0
119.bmp, 8.133081, 0.500000, 1.000000, 1.0
120.bmp, 7.626297, 0.500000, 1.000000, 1.0
121.bmp, 7.113776, 0.500000, 1.000000, 1.0
122.bmp, 7.105073, 0.504333, 0.952942, 1.0
123.bmp, 7.392966, 0.511063, 0.878433, 1.0
124.bmp, 7.815682, 0.514618, 0.839218, 1.0
125.bmp, 8.339931, 0.516586, 0.803925, 1.0
126.bmp, 8.823404, 0.518967, 0.792160, 1.0
127.bmp, 9.133965, 0.520935, 0.792160, 1.0
128.bmp, 9.561883, 0.526474, 0.792160, 1.0
129.bmp, 9.966045, 0.536346, 0.858826, 1.0
130.bmp, 10.289165, 0.546234, 0.909805, 1.0
131.bmp, 10.269526, 0.556107, 1.000000, 1.0
132.bmp, 9.714090, 0.566391, 1.000000, 1.0
133.bmp, 9.165769, 0.581009, 1.000000, 1.0
134.bmp, 8.612320, 0.593658, 1.000000, 1.0
135.bmp, 8.070353, 0.612228, 1.000000, 1.0
136.bmp, 7.528157, 0.625275, 1.000000, 1.0
137.bmp, 6.993155, 0.626862, 1.000000, 1.0
138.bmp, 7.057467, 0.605911, 0.968628, 1.0
139.bmp, 7.283494, 0.577454, 0.952942, 1.0
140.bmp, 7.487934, 0.571930, 0.913727, 1.0
141.bmp, 7.926301, 0.574692, 0.749023, 1.0
142.bmp, 8.620019, 0.575089, 0.741180, 1.0
143.bmp, 9.026439, 0.581009, 0.741180, 1.0
144.bmp, 9.556495, 0.584167, 0.741180, 1.0
145.bmp, 10.085045, 0.571930, 0.741180, 1.0
146.bmp, 10.534430, 0.554138, 0.772552, 1.0
147.bmp, 10.928493, 0.530823, 0.788239, 1.0
148.bmp, 11.287645, 0.505524, 0.800003, 1.0
149.bmp, 11.611177, 0.500000, 0.862747, 1.0
150.bmp, 11.864406, 0.500000, 0.905884, 1.0
151.bmp, 12.061447, 0.500000, 0.905884, 1.0
152.bmp, 12.223536, 0.507904, 0.905884, 1.0
153.bmp, 12.369328, 0.507507, 0.909805, 1.0
154.bmp, 12.318305, 0.500000, 0.909805, 1.0
155.bmp, 12.430148, 0.500000, 0.909805, 1.0
156.bmp, 12.529757, 0.500000, 0.909805, 1.0
157.bmp, 12.606126, 0.500000, 0.909805, 1.0
158.bmp, 12.540069, 0.500000, 1.000000, 1.0
159.bmp, 11.870151, 0.500000, 1.000000, 1.0
160.bmp, 11.200412, 0.500000, 1.000000, 1.0
161.bmp, 10.546526, 0.500000, 1.000000, 0.937256
162.bmp, 9.653968, 0.500000, 1.000000, 0.858826
163.bmp, 8.926957, 0.500000, 1.000000, 1.0
164.bmp, 8.258652, 0.495605, 1.000000, 1.0
165.bmp, 7.600523, 0.464661, 1.000000, 1.0
166.bmp, 6.939265, 0.419022, 1.000000, 1.0
167.bmp, 6.503348, 0.387634, 1.000000, 1.0
168.bmp, 6.087403, 0.363770, 0.890198, 1.0
169.bmp, 6.438838, 0.351837, 0.796082, 1.0
170.bmp, 6.923486, 0.343475, 0.776474, 1.0
171.bmp, 7.501752, 0.338699, 0.721573, 1.0
172.bmp, 8.190372, 0.338699, 0.701965, 1.0
173.bmp, 8.922725, 0.346664, 0.701965, 1.0
174.bmp, 9.303211, 0.369339, 0.709808, 1.0
175.bmp, 9.884680, 0.397186, 0.713730, 1.0
176.bmp, 10.386681, 0.421402, 0.717651, 1.0
177.bmp, 10.883564, 0.436874, 0.788239, 1.0
178.bmp, 11.326423, 0.449570, 0.788239, 1.0
179.bmp, 11.715513, 0.449570, 0.807846, 1.0
180.bmp, 11.801996, 0.415848, 1.000000, 1.0
181.bmp, 11.180058, 0.381668, 1.000000, 1.0
182.bmp, 10.566895, 0.360977, 1.000000, 1.0
183.bmp, 9.965473, 0.357407, 1.000000, 1.0
184.bmp, 9.380129, 0.354614, 1.000000, 1.0
185.bmp, 8.804269, 0.348648, 1.000000, 1.0
186.bmp, 8.247014, 0.353424, 1.000000, 1.0
187.bmp, 7.719928, 0.393600, 1.000000, 1.0
188.bmp, 7.213163, 0.476562, 1.000000, 1.0
189.bmp, 6.964651, 0.500000, 0.945099, 1.0
190.bmp, 7.445821, 0.500000, 0.729416, 1.0
191.bmp, 8.263516, 0.500000, 0.674515, 1.0
192.bmp, 8.854588, 0.480133, 0.666672, 1.0
193.bmp, 9.661486, 0.470215, 0.658829, 1.0
194.bmp, 10.514150, 0.465851, 0.658829, 1.0
195.bmp, 11.230844, 0.478546, 0.658829, 1.0
196.bmp, 11.889761, 0.500000, 0.658829, 1.0
197.bmp, 12.461795, 0.500000, 0.658829, 1.0
198.bmp, 12.885772, 0.500000, 0.701965, 1.0
199.bmp, 13.555203, 0.500000, 0.913727, 1.0
200.bmp, 13.101570, 0.500000, 1.000000, 1.0
201.bmp, 12.419094, 0.492828, 1.000000, 1.0
202.bmp, 11.679908, 0.486481, 1.000000, 1.0
203.bmp, 11.003838, 0.486877, 1.000000, 1.0
204.bmp, 10.338138, 0.484894, 1.000000, 1.0
205.bmp, 9.848367, 0.493225, 1.000000, 1.0
206.bmp, 9.204282, 0.500000, 1.000000, 1.0
207.bmp, 8.560295, 0.500000, 1.000000, 1.0
208.bmp, 7.912267, 0.500000, 1.000000, 1.0
209.bmp, 7.260689, 0.500000, 1.000000, 1.0
210.bmp, 8.054943, 0.500000, 0.811768, 1.0
211.bmp, 8.953115, 0.485687, 0.580399, 1.0
212.bmp, 9.832438, 0.486084, 0.454910, 1.0
213.bmp, 10.674267, 0.486084, 0.450989, 1.0
214.bmp, 11.531968, 0.487671, 0.454910, 1.0
215.bmp, 12.374373, 0.487671, 0.517654, 1.0
216.bmp, 13.080745, 0.500000, 0.556870, 1.0
217.bmp, 13.691490, 0.500000, 0.592163, 1.0
218.bmp, 13.894051, 0.500000, 0.592163, 1.0
219.bmp, 14.273920, 0.500000, 0.592163, 1.0
220.bmp, 14.625758, 0.494415, 0.592163, 1.0
221.bmp, 15.015033, 0.491638, 0.592163, 1.0
222.bmp, 15.387583, 0.491241, 0.666672, 1.0
223.bmp, 15.693373, 0.492828, 0.682358, 1.0
224.bmp, 15.951235, 0.494019, 0.682358, 1.0
225.bmp, 16.256353, 0.500000, 0.682358, 1.0
226.bmp, 16.652729, 0.500000, 0.682358, 1.0
227.bmp, 16.665613, 0.500000, 0.709808, 1.0
228.bmp, 16.802626, 0.500000, 0.772552, 1.0
229.bmp, 16.911198, 0.500000, 0.745102, 1.0
230.bmp, 17.064537, 0.500000, 0.721573, 1.0
231.bmp, 17.212877, 0.500000, 0.721573, 1.0
232.bmp, 17.352856, 0.500000, 0.721573, 1.0
233.bmp, 17.484716, 0.500000, 0.725494, 1.0
234.bmp, 17.609079, 0.500000, 0.878433, 1.0
235.bmp, 17.687578, 0.500000, 0.854904, 1.0
236.bmp, 17.803257, 0.506317, 0.776474, 1.0
237.bmp, 17.919531, 0.508286, 0.741180, 1.0
238.bmp, 18.124735, 0.508286, 0.733337, 1.0
239.bmp, 18.416473, 0.511856, 0.815689, 1.0
240.bmp, 18.423409, 0.515808, 1.000000, 1.0
241.bmp, 17.717352, 0.506317, 1.000000, 1.0
242.bmp, 17.004379, 0.500000, 1.000000, 1.0
243.bmp, 16.294285, 0.494415, 1.000000, 1.0
244.bmp, 15.611876, 0.484497, 1.000000, 1.0
245.bmp, 14.993796, 0.483307, 1.000000, 1.0
246.bmp, 14.416032, 0.483307, 1.000000, 1.0
247.bmp, 13.837203, 0.484497, 1.000000, 1.0
248.bmp, 13.238446, 0.500000, 1.000000, 1.0
249.bmp, 12.901711, 0.500000, 0.925491, 1.0
250.bmp, 13.224586, 0.507111, 0.901962, 1.0
251.bmp, 13.451883, 0.514618, 0.901962, 1.0
252.bmp, 13.632006, 0.518173, 0.901962, 1.0
253.bmp, 13.769871, 0.518173, 0.901962, 1.0
254.bmp, 13.906812, 0.518173, 0.905884, 1.0
255.bmp, 14.034285, 0.514618, 0.925491, 1.0
256.bmp, 14.094838, 0.513031, 0.992157, 1.0
257.bmp, 13.496004, 0.527664, 1.000000, 1.0
258.bmp, 12.837651, 0.535172, 1.000000, 1.0
259.bmp, 12.155818, 0.535172, 1.000000, 1.0
260.bmp, 11.470521, 0.536743, 1.000000, 1.0
261.bmp, 10.787598, 0.538330, 1.000000, 1.0
262.bmp, 10.126579, 0.538330, 1.000000, 1.0
263.bmp, 9.663645, 0.537933, 1.000000, 1.0
264.bmp, 9.515087, 0.532791, 0.898041, 1.0
265.bmp, 9.740012, 0.524490, 0.854904, 1.0
266.bmp, 10.059313, 0.516983, 0.843140, 1.0
267.bmp, 10.464688, 0.513824, 0.835297, 1.0
268.bmp, 10.846294, 0.505524, 0.835297, 1.0
269.bmp, 11.206165, 0.500000, 0.835297, 1.0
270.bmp, 11.548735, 0.500000, 0.835297, 1.0
271.bmp, 11.887437, 0.500000, 0.835297, 1.0
272.bmp, 12.224942, 0.500000, 0.835297, 1.0
273.bmp, 12.319535, 0.500000, 0.835297, 1.0
274.bmp, 12.548368, 0.500000, 0.835297, 1.0
275.bmp, 12.763863, 0.500000, 0.835297, 1.0
276.bmp, 12.977118, 0.494812, 0.835297, 1.0
277.bmp, 13.185090, 0.494415, 0.835297, 1.0
278.bmp, 13.401435, 0.488068, 0.835297, 1.0
279.bmp, 13.618778, 0.489258, 0.835297, 1.0
280.bmp, 13.830914, 0.494415, 0.835297, 1.0
281.bmp, 14.037822, 0.500000, 0.835297, 1.0
282.bmp, 14.259276, 0.500000, 0.835297, 1.0
283.bmp, 14.494551, 0.500000, 0.835297, 1.0
284.bmp, 14.714111, 0.500000, 0.835297, 1.0
285.bmp, 14.909655, 0.500000, 0.835297, 1.0
286.bmp, 15.106016, 0.500000, 0.827454, 1.0
287.bmp, 15.329311, 0.500000, 0.827454, 1.0
288.bmp, 15.576281, 0.500000, 0.827454, 1.0
289.bmp, 15.822863, 0.500000, 0.827454, 1.0
290.bmp, 15.820503, 0.500000, 0.827454, 1.0
291.bmp, 15.980409, 0.500000, 0.827454, 1.0
292.bmp, 16.135799, 0.500000, 0.827454, 1.0
293.bmp, 16.290997, 0.500000, 0.831375, 1.0
294.bmp, 16.451307, 0.500000, 0.858826, 1.0
295.bmp, 16.592398, 0.500000, 0.858826, 1.0
296.bmp, 16.714539, 0.500000, 1.000000, 1.0
297.bmp, 16.107040, 0.500000, 1.000000, 1.0
298.bmp, 15.494393, 0.513031, 1.000000, 1.0
299.bmp, 14.838860, 0.524094, 1.000000, 1.0
300.bmp, 14.286351, 0.540298, 1.000000, 1.0
301.bmp, 13.669621, 0.549393, 1.000000, 1.0
302.bmp, 12.975806, 0.554138, 1.000000, 1.0
303.bmp, 12.412269, 0.554138, 0.968628, 1.0
304.bmp, 12.467629, 0.556107, 0.803925, 1.0
305.bmp, 12.646146, 0.558884, 0.729416, 1.0
306.bmp, 12.863686, 0.562439, 0.721573, 1.0
307.bmp, 13.121295, 0.564804, 0.721573, 1.0
308.bmp, 13.432671, 0.548599, 0.721573, 1.0
309.bmp, 13.764824, 0.523315, 0.721573, 1.0
310.bmp, 14.084118, 0.500000, 0.717651, 1.0
311.bmp, 14.408888, 0.500000, 0.717651, 1.0
312.bmp, 14.727509, 0.515411, 0.717651, 1.0
313.bmp, 15.145257, 0.537933, 0.729416, 1.0
314.bmp, 15.735623, 0.546234, 0.745102, 1.0
315.bmp, 15.839921, 0.549393, 0.745102, 1.0
316.bmp, 16.025148, 0.560059, 0.745102, 1.0
317.bmp, 16.211132, 0.571533, 0.745102, 1.0
318.bmp, 16.402380, 0.569550, 0.745102, 1.0
319.bmp, 16.677635, 0.541092, 0.745102, 1.0
320.bmp, 17.098946, 0.509872, 0.745102, 1.0
321.bmp, 17.518192, 0.500000, 0.745102, 1.0
322.bmp, 17.853752, 0.500000, 0.745102, 1.0
323.bmp, 18.206469, 0.500000, 0.745102, 1.0
324.bmp, 18.503971, 0.500000, 0.745102, 1.0
325.bmp, 18.534893, 0.500000, 0.745102, 1.0
326.bmp, 18.740208, 0.500000, 0.745102, 1.0
327.bmp, 18.944609, 0.500000, 0.745102, 1.0
328.bmp, 19.242668, 0.500000, 0.745102, 1.0
329.bmp, 19.508396, 0.500000, 0.745102, 1.0
330.bmp, 19.600508, 0.500000, 0.745102, 1.0
331.bmp, 19.552280, 0.500000, 0.745102, 1.0
332.bmp, 19.846371, 0.495605, 0.749023, 1.0
333.bmp, 20.161030, 0.494019, 0.756866, 1.0
334.bmp, 20.396843, 0.494415, 0.756866, 1.0
335.bmp, 20.596308, 0.500000, 0.760788, 1.0
336.bmp, 20.781462, 0.500000, 0.764709, 1.0
337.bmp, 20.998922, 0.500000, 0.764709, 1.0
338.bmp, 21.184149, 0.500000, 0.768631, 1.0
339.bmp, 21.354519, 0.500000, 0.768631, 1.0
340.bmp, 21.473660, 0.500000, 0.768631, 1.0
341.bmp, 21.557854, 0.500000, 0.768631, 1.0
342.bmp, 21.599636, 0.500000, 0.772552, 1.0
343.bmp, 21.628475, 0.500000, 0.772552, 1.0
344.bmp, 21.688560, 0.500000, 0.772552, 1.0
345.bmp, 21.776640, 0.500000, 0.772552, 1.0
346.bmp, 21.817240, 0.500000, 0.772552, 1.0
347.bmp, 21.840378, 0.500000, 0.776474, 1.0
348.bmp, 21.859064, 0.500000, 0.988235, 1.0
349.bmp, 21.109730, 0.500000, 1.000000, 1.0
350.bmp, 20.416288, 0.500000, 1.000000, 1.0
351.bmp, 19.888502, 0.500000, 0.909805, 1.0
352.bmp, 19.886803, 0.500000, 0.827454, 1.0
353.bmp, 19.886724, 0.500000, 0.815689, 1.0
354.bmp, 19.891600, 0.500000, 0.811768, 1.0
355.bmp, 19.897884, 0.500000, 0.811768, 1.0
356.bmp, 19.922392, 0.500000, 0.811768, 1.0
357.bmp, 19.941410, 0.500000, 0.811768, 1.0
358.bmp, 19.953396, 0.504333, 0.811768, 1.0
359.bmp, 19.974360, 0.505920, 0.815689, 1.0
360.bmp, 20.033112, 0.505127, 0.815689, 1.0
361.bmp, 20.096380, 0.500000, 0.815689, 1.0
362.bmp, 20.245443, 0.500000, 0.815689, 1.0
363.bmp, 20.364878, 0.500000, 0.815689, 1.0
364.bmp, 20.447155, 0.500000, 0.815689, 1.0
365.bmp, 20.534437, 0.500000, 0.815689, 1.0
366.bmp, 20.599085, 0.500000, 0.815689, 1.0
367.bmp, 20.653288, 0.500000, 0.815689, 1.0
368.bmp, 20.729780, 0.500000, 0.815689, 1.0
369.bmp, 20.798504, 0.500000, 0.815689, 1.0
370.bmp, 20.899323, 0.500000, 0.815689, 1.0
371.bmp, 21.005539, 0.500000, 0.819611, 1.0
372.bmp, 21.103182, 0.500000, 0.823532, 1.0
373.bmp, 21.192951, 0.500000, 0.827454, 1.0
374.bmp, 21.270452, 0.500000, 0.827454, 1.0
375.bmp, 21.341154, 0.500000, 0.831375, 1.0
376.bmp, 21.537325, 0.500000, 0.870590, 1.0
377.bmp, 21.674988, 0.500000, 0.870590, 1.0
378.bmp, 21.782974, 0.500000, 0.870590, 1.0
379.bmp, 21.802486, 0.500000, 0.870590, 1.0
380.bmp, 21.793953, 0.500000, 0.870590, 1.0
381.bmp, 21.777313, 0.500000, 0.870590, 1.0
382.bmp, 21.744278, 0.500000, 0.870590, 1.0
383.bmp, 21.705666, 0.500000, 0.870590, 1.0
384.bmp, 21.666193, 0.500000, 0.870590, 1.0
385.bmp, 21.626043, 0.500000, 0.870590, 1.0
386.bmp, 21.584595, 0.500000, 0.870590, 1.0
387.bmp, 21.547426, 0.494019, 0.870590, 1.0
388.bmp, 21.519569, 0.490845, 0.870590, 1.0
389.bmp, 21.504900, 0.486481, 0.870590, 1.0
390.bmp, 21.469036, 0.484894, 0.870590, 1.0
391.bmp, 21.474346, 0.486877, 0.870590, 1.0
392.bmp, 21.557476, 0.500000, 0.870590, 1.0
393.bmp, 21.616215, 0.500000, 0.870590, 1.0
394.bmp, 21.653809, 0.500000, 0.870590, 1.0
395.bmp, 21.664629, 0.500000, 0.870590, 1.0
396.bmp, 21.672171, 0.500000, 0.870590, 1.0
397.bmp, 21.676582, 0.500000, 0.870590, 1.0
398.bmp, 21.678759, 0.500000, 0.870590, 1.0
399.bmp, 21.694944, 0.500000, 0.870590, 1.0
400.bmp, 21.701616, 0.500000, 0.870590, 1.0
401.bmp, 21.705061, 0.505524, 0.870590, 1.0
402.bmp, 21.713343, 0.505920, 0.870590, 1.0
403.bmp, 21.706188, 0.504730, 0.870590, 1.0
404.bmp, 21.677839, 0.500000, 0.870590, 1.0
405.bmp, 21.658428, 0.500000, 0.870590, 1.0
406.bmp, 21.624285, 0.500000, 0.870590, 1.0
407.bmp, 21.572706, 0.500000, 0.870590, 1.0
408.bmp, 21.511665, 0.500000, 0.870590, 1.0
409.bmp, 21.443960, 0.500000, 0.870590, 1.0
410.bmp, 21.376217, 0.500000, 0.870590, 1.0
411.bmp, 21.305153, 0.500000, 0.945099, 1.0
412.bmp, 20.700350, 0.500000, 1.000000, 1.0
413.bmp, 19.922497, 0.500000, 1.000000, 1.0
414.bmp, 19.696932, 0.500000, 0.917648, 1.0
415.bmp, 19.609991, 0.500000, 0.917648, 1.0
416.bmp, 19.598221, 0.500000, 0.917648, 1.0
417.bmp, 19.596258, 0.500000, 0.917648, 1.0
418.bmp, 19.543509, 0.500000, 0.917648, 1.0
419.bmp, 19.495262, 0.500000, 0.921570, 1.0
420.bmp, 19.445602, 0.500000, 0.921570, 1.0
421.bmp, 19.365353, 0.500000, 0.921570, 1.0
422.bmp, 19.274509, 0.500000, 0.925491, 1.0
423.bmp, 19.180279, 0.500000, 0.925491, 1.0
424.bmp, 19.087564, 0.500000, 0.925491, 1.0
425.bmp, 18.998180, 0.500000, 0.925491, 1.0
426.bmp, 18.917797, 0.500000, 0.925491, 1.0
427.bmp, 18.853718, 0.500000, 0.925491, 1.0
428.bmp, 18.805202, 0.500000, 0.925491, 1.0
429.bmp, 18.766296, 0.500000, 0.925491, 1.0
430.bmp, 18.815008, 0.500000, 0.925491, 1.0
431.bmp, 18.885763, 0.500000, 0.925491, 1.0
432.bmp, 18.874371, 0.500000, 0.925491, 1.0
433.bmp, 18.833570, 0.500000, 0.925491, 1.0
434.bmp, 18.789618, 0.500000, 0.929413, 1.0
435.bmp, 18.736500, 0.500000, 0.929413, 1.0
436.bmp, 18.679235, 0.500000, 0.933334, 1.0
437.bmp, 18.602057, 0.500000, 0.937256, 1.0
438.bmp, 18.536808, 0.500000, 0.937256, 1.0
439.bmp, 18.536646, 0.500000, 0.937256, 1.0
440.bmp, 18.504055, 0.500000, 0.937256, 1.0
441.bmp, 18.397808, 0.500000, 0.937256, 1.0
442.bmp, 18.306551, 0.500000, 0.937256, 1.0
443.bmp, 18.220181, 0.500000, 0.937256, 1.0
444.bmp, 18.106150, 0.500000, 0.937256, 1.0
445.bmp, 17.984118, 0.500000, 0.937256, 1.0
446.bmp, 17.872023, 0.500000, 0.937256, 1.0
447.bmp, 17.757318, 0.495605, 0.937256, 1.0
448.bmp, 17.641411, 0.494812, 0.937256, 1.0
449.bmp, 17.501465, 0.500000, 0.937256, 1.0
450.bmp, 17.372431, 0.500000, 0.937256, 1.0
451.bmp, 17.158665, 0.500000, 0.937256, 1.0
452.bmp, 16.978775, 0.500000, 0.937256, 1.0
453.bmp, 16.870836, 0.500000, 0.937256, 1.0
454.bmp, 16.758821, 0.500000, 0.937256, 1.0
455.bmp, 16.625349, 0.500000, 0.937256, 1.0
456.bmp, 16.581390, 0.500000, 0.941177, 1.0
457.bmp, 16.581390, 0.500000, 0.941177, 1.0
458.bmp, 16.662029, 0.500000, 0.941177, 1.0
459.bmp, 16.612978, 0.500000, 0.941177, 1.0
460.bmp, 16.550423, 0.500000, 0.941177, 1.0
461.bmp, 16.462194, 0.500000, 0.941177, 1.0
462.bmp, 16.351845, 0.500000, 0.941177, 1.0
463.bmp, 16.253023, 0.500000, 0.941177, 1.0
464.bmp, 16.167627, 0.500000, 0.941177, 1.0
465.bmp, 16.101658, 0.500000, 0.941177, 1.0
466.bmp, 16.049973, 0.500000, 0.941177, 1.0
467.bmp, 16.001099, 0.500000, 0.941177, 1.0
468.bmp, 15.962463, 0.500000, 0.941177, 1.0
469.bmp, 15.941056, 0.500000, 0.941177, 1.0
470.bmp, 15.942553, 0.500000, 0.941177, 1.0
471.bmp, 15.938993, 0.507507, 0.941177, 1.0
472.bmp, 15.930367, 0.511459, 0.941177, 1.0
473.bmp, 15.912382, 0.515808, 0.941177, 1.0
474.bmp, 15.886512, 0.517776, 0.941177, 1.0
475.bmp, 15.866859, 0.519363, 0.941177, 1.0
476.bmp, 15.842316, 0.521332, 0.941177, 1.0
477.bmp, 15.814810, 0.521332, 0.941177, 1.0
478.bmp, 15.789650, 0.518173, 0.941177, 1.0
479.bmp, 15.765652, 0.500000, 0.941177, 1.0
480.bmp, 15.741361, 0.500000, 0.941177, 1.0
